Geography,Views,Watch time (hours),Average view duration
Total,26625,2157.3497,0:04:51
ET,10903,958.4972,0:05:16
NG,854,103.8847,0:07:17
KE,460,48.0795,0:06:16
US,260,11.6346,0:02:41
IN,228,2.1819,0:00:34
RW,221,20.7627,0:05:38
DE,173,2.3868,0:00:49
ZA,154,2.0188,0:00:47
BJ,134,10.4045,0:04:39
SD,116,8.1711,0:04:13
GB,112,0.8712,0:00:28
RO,83,1.0051,0:00:43
GH,61,8.104,0:07:58
NL,52,1.14,0:01:18
ID,49,0.162,0:00:11
ES,42,0.0892,0:00:07
FR,42,0.0938,0:00:08
IT,39,0.0523,0:00:04
KR,38,0.094,0:00:08
JP,16,0.0482,0:00:10
SN,16,1.0813,0:04:03
TG,16,0.5366,0:02:00
HU,15,0.5543,0:02:13
BR,12,0.0302,0:00:09
RS,12,0.2968,0:01:29
LK,11,0.0363,0:00:11
PH,11,0.0615,0:00:20
CH,10,0.1146,0:00:41
NA,10,0.2081,0:01:14
